=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.01.25 13:17:09 =~=~=~=~=~=~=~=~=~=~=~=
vSense, Hall State
0, 0
0, 0
926, 0
2212, 0
2511, 0
2648, 0
2710, 0
2741, 0
2753, 0
2760, 0
2767, 0
2763, 0
2762, 0
2759, 0
2757, 0
2759, 0
2749, 0
2747, 0
2749, 0
2742, 0
2743, 0
2742, 0
2740, 0
2738, 0
2734, 0
2732, 0
2731, 0
2734, 0
2724, 0
2722, 0
2418, 0
1857, 0
1782, 0
1959, 0
2618, 0
3066, 0
2975, 0
2811, 0
2777, 0
2816, 0
2847, 0
2844, 0
2823, 0
2805, 0
2803, 0
2806, 0
2807, 0
2802, 0
2798, 0
2795, 0
2789, 0
2790, 0
2784, 0
2782, 0
2776, 0
2776, 0
2776, 0
2772, 0
2771, 0
2770, 0
2764, 0
2763, 0
2761, 0
2761, 0
2758, 0
2755, 0
2753, 0
2749, 0
2742, 0
2747, 0
2740, 0
2735, 0
2736, 0
2734, 0
2730, 0
2734, 0
2730, 0
2732, 0
2724, 0
2726, 0
2459, 0
1836, 0
1788, 0
1965, 0
2781, 0
3072, 0
2942, 0
2803, 0
2778, 0
2820, 0
2849, 0
2839, 0
2819, 0
2804, 0
2805, 0
2809, 0
2802, 0
2804, 0
2794, 0
2796, 0
2794, 0
2788, 0
2782, 0
2785, 0
2777, 0
2775, 0
2775, 0
2769, 0
2767, 0
2764, 0
2760, 0
2760, 0
2756, 0
2759, 0
2754, 0
2749, 0
2749, 0
2746, 0
2743, 0
2746, 0
2741, 0
2743, 0
2739, 0
2734, 0
2731, 0
2733, 0
2724, 0
2728, 0
2728, 0
2724, 0
2380, 0
1808, 0
1803, 0
1986, 0
2869, 0
3069, 0
2920, 0
2790, 0
2787, 0
2824, 0
2847, 0
2840, 0
2815, 0
2802, 0
2801, 0
2808, 0
2805, 0
2801, 0
2794, 0
2788, 0
2783, 0
2794, 0
2782, 0
2785, 0
2778, 0
2778, 0
2774, 0
2775, 0
2769, 0
2767, 0
2763, 0
2759, 0
2757, 0
2750, 0
2749, 0
2750, 0
2748, 0
2745, 0
2740, 0
2740, 0
2744, 0
2739, 0
2737, 0
2736, 0
2730, 0
2732, 0
2730, 0
2728, 0
2729, 0
2732, 0
2226, 0
1789, 0
1825, 0
2022, 0
2925, 0
3059, 0
2910, 0
2791, 0
2789, 0
2830, 0
2847, 0
2835, 0
2809, 0
2799, 0
2801, 0
2806, 0
2804, 0
2794, 0
2786, 0
2790, 0
2788, 0
2786, 0
2785, 0
2779, 0
2776, 0
2778, 0
2774, 0
2772, 0
2763, 0
2767, 0
2762, 0
2760, 0
2758, 0
2754, 0
